Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,Year
Buffalo,18,40,26.2,59.5,0.441,5.8,18.3,0.319,17.7,24.4,0.723,10.9,18,13,23.9,36.9,13.2,8.2,3.7,75.9,2015
North Carolina,18,40.6,29.1,60.3,0.483,4.5,12.2,0.37,13.2,18.9,0.695,12,18.3,12.1,26.4,38.4,17.3,6.2,4.3,75.9,2015
Hofstra,18,40,25.1,58.8,0.427,8.3,24.8,0.333,17.3,24,0.722,11.3,19.7,12.1,23.1,35.1,14.8,7.6,2.3,75.8,2015
William & Mary,18,40,26.4,52.5,0.504,8.8,21.4,0.409,13.9,18.1,0.772,10.3,16,6.4,24.4,30.8,15.7,6.2,4.9,75.6,2015
Toledo,18,40.6,26.2,54.8,0.477,5.3,14.8,0.36,17.9,24.2,0.743,11.8,17,10.3,25.8,36.1,12.8,4.5,3,75.6,2015
Belmont,16,40,26.8,54.6,0.49,9.4,25.3,0.373,12.6,18.6,0.678,13.6,16.9,9.4,22.9,32.2,15.8,6.4,1.9,75.6,2015
Northern Colorado,18,41.1,26.9,56.2,0.479,6.9,17.7,0.392,14.7,20.6,0.712,11.1,18.6,10.1,21.2,31.3,12.4,7.2,2.2,75.4,2015
Maryland-Eastern Shore,16,40.3,25.1,52.9,0.474,7.2,17.2,0.42,18,27.6,0.652,14.6,20.3,12.7,21.4,34.1,14.6,8.6,1.4,75.4,2015
Sacred Heart,18,41.4,28.1,61.3,0.458,5.6,16.7,0.336,13.6,22,0.616,13.8,18.2,13,26.2,39.2,14.5,6.3,3.6,75.3,2015
Delaware State,16,40,26.4,61.4,0.429,9,23.7,0.38,13.5,18.6,0.727,13.1,19,13.1,26.6,39.7,13.5,4.6,3.1,75.2,2015
Gonzaga,18,40,27.1,52.8,0.513,6.9,17.2,0.403,14,20.4,0.685,9.8,16.9,8.8,26.9,35.7,15.6,5.4,3.2,75.2,2015
Omaha,16,40.6,25.8,59,0.438,5.3,16.8,0.316,18.2,26,0.7,12.1,20.1,9.8,22.5,32.2,10.2,7.4,3.1,75.1,2015
Arkansas,18,40.3,26.4,60.5,0.437,6.4,19.3,0.331,15.8,22.1,0.716,11.4,18.9,11.9,21,32.9,15.2,7.7,5.5,75.1,2015
Oakland,16,40.6,25.9,55.2,0.469,7.6,20.5,0.369,15.5,21.9,0.707,12.2,15.4,9.7,23.4,33.1,15.4,6.1,2.1,74.8,2015
Radford,18,41.1,27.1,58.1,0.467,6.8,19.2,0.357,13.7,20.3,0.674,11.2,17.6,12,22.5,34.5,13.4,7.6,3.5,74.7,2015
Norfolk State,16,40.3,26.4,52.1,0.508,5.5,15.6,0.352,16.1,23.5,0.684,14.2,18.6,9.9,26.5,36.4,14.2,5,5.1,74.4,2015
Gardner-Webb,18,40.8,25.4,56.9,0.446,8.4,24.3,0.348,15,21,0.714,12.1,15.3,10.2,22.9,33.2,16.1,6.5,2.6,74.2,2015
Lipscomb,14,40.7,24.1,57.4,0.42,8.5,24.7,0.344,17.4,24.1,0.722,11.9,21.5,11.1,24.3,35.4,15.1,4.9,1.2,74.2,2015
Kentucky,18,40.8,25.2,54.1,0.465,5.4,15.1,0.357,18.4,24.8,0.743,10.1,16.7,11.2,23.7,34.9,13.4,5.7,5.9,74.2,2015
Winthrop,18,40.8,25.7,55.6,0.462,8.1,21.7,0.372,14.6,19.6,0.747,11.8,16,9.3,24.2,33.4,12.5,7.1,4.4,74,2015
South Dakota State,16,40,24.7,51.9,0.475,8.4,20.3,0.412,15.9,22.6,0.704,11.4,18.2,8,26.6,34.6,12.3,5.6,3.1,73.7,2015
Oregon,18,40.6,26.6,57.3,0.465,6.8,18.5,0.369,13.6,17.7,0.765,11.1,18.3,8.9,23.6,32.6,12.5,5.6,3.6,73.6,2015
Notre Dame,18,40.8,25.8,54.4,0.474,7.8,21.1,0.369,14.1,19.1,0.735,8.8,14.5,8.1,22.8,30.9,14.4,6.1,3.4,73.5,2015
Portland State,18,40,25.7,56.2,0.458,7.1,17.9,0.394,14.8,19.9,0.743,11.2,18.4,8.8,23.2,32,14,5.6,4.1,73.3,2015
Charlotte,18,41.1,26.6,57,0.466,6.1,15.5,0.394,14,20.7,0.677,14,18.3,10.8,24.8,35.7,13.8,6.7,2,73.2,2015
Prairie View A&M,18,40,27.1,60.3,0.449,5.7,15.9,0.36,13.1,20.2,0.647,14.1,21.3,12.6,21.5,34.1,11.3,9,3.7,73,2015
Stanford,18,40.8,24.2,56.4,0.429,7.1,18.6,0.38,17.4,24.2,0.718,10.7,21.1,10.6,24.9,35.5,11.4,4.8,2.5,72.9,2015
Colorado State,18,40,25.3,58,0.436,7.1,21.3,0.334,15.2,21.6,0.704,10.4,16.7,11.8,25.8,37.7,14.1,6.2,3.1,72.8,2015
Ole Miss,18,40.3,24.7,58.3,0.424,6.7,20.1,0.331,16.7,21.7,0.772,10.1,18.7,12.1,23.6,35.6,12.9,6.6,3.2,72.8,2015
Hawaii,16,40.3,25.3,57.6,0.439,6.6,20.4,0.324,15.6,22.2,0.699,12.9,20.4,10.7,22.3,33,13.1,10.8,4.3,72.8,2015
Chattanooga,18,41.4,24.8,53.9,0.46,6.4,18.7,0.345,16.6,24.2,0.687,13.1,18.9,11.3,24.1,35.4,12.1,5.8,7.2,72.7,2015
Georgia State,20,40.5,26,53.5,0.486,4.6,14.2,0.325,16.1,21,0.764,10.5,18.8,8.7,23.9,32.6,13.6,8.5,4.5,72.7,2015
High Point,18,41.4,26.4,55.5,0.476,7.1,16.6,0.428,12.6,17.2,0.731,10.9,15.2,9,22.8,31.8,14.8,6.5,3.1,72.6,2015
Texas-Arlington,20,40.2,25.6,56.8,0.451,6.2,21.1,0.291,15.2,22.6,0.673,14.9,20.6,10.9,25.4,36.3,13,6.8,2.9,72.5,2015
LSU,18,41.1,26.3,58.4,0.451,6.3,18.7,0.339,13.5,20,0.675,14.1,16.2,11,25.8,36.8,15.2,6.8,6.2,72.5,2015
South Alabama,20,40.2,23.5,51.8,0.454,6.6,17.9,0.369,18.9,26.2,0.719,14.5,18,8.8,23.9,32.7,10.8,4,3.3,72.5,2015
Kansas,18,40.3,25.1,55.5,0.451,6,15.9,0.376,16.3,22.6,0.722,12.1,18.9,10.4,26.3,36.7,13.8,6.5,5.3,72.4,2015
Northern Kentucky,14,40.4,27,56.9,0.475,7.4,21.2,0.35,10.9,16.6,0.659,11.6,20.4,10.4,23.6,34,13.1,5.6,3,72.4,2015
East Tennessee State,18,40.3,23.4,55.5,0.422,8.3,22.9,0.361,17.1,23.3,0.735,12.4,20.8,9.9,22.9,32.9,11.8,7.8,2.8,72.3,2015
Montana,18,41.4,25.3,52.6,0.482,8.6,21.6,0.397,13,17.6,0.741,12.2,18.9,7.9,23.1,30.9,15.4,6.8,2.5,72.2,2015
USC Upstate,14,40,26.1,58.5,0.446,8.2,22.9,0.358,11.9,17.9,0.664,10.8,17,12.7,23.9,36.6,14.1,5.8,2.3,72.2,2015
Central Michigan,18,40.3,24.2,54.7,0.442,9.7,27.3,0.354,14.2,20,0.708,9.7,17.3,9.1,20.4,29.6,12.6,7.3,1.9,72.2,2015
Western Kentucky,18,40.8,24.8,56.8,0.436,7.7,21.2,0.361,14.9,23,0.647,12.1,17.9,10.8,25.5,36.3,13.4,5.5,3.1,72.1,2015
Morehead State,16,40.2,25.4,56,0.453,6.3,19.2,0.329,15,19.8,0.757,13.1,23,11.6,23.2,34.8,14.7,8.7,3.2,72.1,2015
Green Bay,16,40.3,26.6,56.6,0.47,4.2,14.2,0.294,14.6,21.4,0.682,11.3,19,11.3,23.8,35.1,15.8,7.8,5.7,72.1,2015
Texas Southern,18,41.4,23.9,52.1,0.458,5.9,16.9,0.351,18.3,27,0.679,12.7,17.1,10.7,23.8,34.5,10.8,5.5,3.2,72.1,2015
Coastal Carolina,18,40,24.5,55.5,0.441,6.7,18.6,0.362,16.3,23,0.708,10.9,16.5,12,25.4,37.4,11.4,6.3,3.3,72,2015
Indiana,18,40,25.5,56.7,0.45,9.4,23.2,0.404,11.5,16.4,0.702,11.1,18.1,10.2,21.8,32,12.9,4.2,2.3,71.9,2015
Manhattan,20,40.8,23.4,53,0.441,6.5,19.2,0.338,18.6,26.2,0.708,14.5,23.1,10.1,22.1,32.1,15.2,8.3,3.1,71.8,2015
St. John's,18,40.3,25.4,57.2,0.445,6.9,17.9,0.384,14.1,19.9,0.705,10.4,17.6,9.6,22.6,32.1,12.7,6.6,6.5,71.8,2015
UC Davis,16,40.6,23.6,48.4,0.488,8.5,18.1,0.471,16,21.1,0.757,14,17.3,7.6,23.3,30.9,12.9,4.3,1.8,71.8,2015
Sacramento State,18,40,25.7,52.1,0.494,6.2,14.6,0.427,13.8,19,0.728,9.4,16.3,8.1,19.8,27.9,15.3,6.8,2.5,71.5,2015
Oklahoma,18,40.6,24.9,57.3,0.434,6.7,18.8,0.358,14.9,20.4,0.73,12.1,16.3,10.7,24.8,35.5,12.2,7,5.2,71.4,2015
Detroit,16,40.3,25.6,56.2,0.455,7.1,17.5,0.407,13.1,20.1,0.654,13.3,21.1,10.2,22.3,32.5,14.7,7.1,2.9,71.4,2015
Lafayette,18,40.3,25.8,55.5,0.465,7.5,19.2,0.391,12.2,16.1,0.758,10.2,15.1,8.6,20.9,29.6,14.9,5.2,2.3,71.3,2015
UNC Asheville,18,40,25.3,55.8,0.454,6.9,20.3,0.339,13.8,19.5,0.707,13.1,18.1,10.5,23.7,34.2,13.8,6.5,4.8,71.3,2015
UAB,18,41.7,24.8,55.7,0.446,5.2,14.3,0.362,16.4,20.8,0.791,13.3,18.4,11.9,25.2,37.2,14.2,6.4,5.4,71.3,2015
Southeast Missouri State,16,40.3,25.2,56.4,0.447,7.2,19.1,0.377,13.7,20,0.684,12.6,20.2,10.4,22.2,32.6,12.4,6.9,4.3,71.2,2015
Louisiana Tech,18,40.3,26.3,58.9,0.446,6.6,21.6,0.307,12.1,17,0.709,10.4,16.2,10.6,22.9,33.4,14.1,8.8,5.4,71.2,2015
Duquesne,18,40.3,26.1,58.1,0.448,7.3,20.6,0.354,11.8,18.3,0.644,11.5,17.3,10.4,24.3,34.7,14.8,4.8,2.6,71.2,2015
Robert Morris,18,40.6,25.9,54.3,0.477,6.4,15.4,0.415,13,17.7,0.734,13,16.6,9.6,22.8,32.4,13.4,7.8,2.4,71.2,2015
Western Carolina,18,40.6,25.3,57,0.443,5.9,16.6,0.355,14.7,21.1,0.695,13.7,20.9,12.9,22.8,35.7,11.5,7.3,4.4,71.1,2015
Oral Roberts,16,40.3,24.7,54.3,0.455,6.2,16.2,0.382,15.5,21.8,0.711,11.2,19.8,9.4,22.4,31.8,11.1,5.4,4,71.1,2015
Xavier,18,40.6,24.5,54.1,0.453,5.7,18.1,0.316,16.2,21.7,0.749,11.9,18.6,9.4,24.2,33.6,16.1,5.6,2.7,70.9,2015
Eastern Kentucky,16,40.6,23.4,49,0.477,8.1,22.8,0.356,16.1,20.2,0.793,11.4,17.8,4.8,19.6,24.4,14.7,8.6,2.8,70.9,2015
Northern Arizona,18,40,23.1,55.4,0.417,7.1,18.7,0.377,17.5,22.9,0.763,11.1,17.8,12.1,26,38.1,13.1,3.9,3.8,70.8,2015
Lamar,18,40,24.1,53.2,0.452,5.8,17.8,0.327,16.8,23.9,0.705,14.9,20.8,11.2,22.8,34,12.1,6.3,4.2,70.8,2015
North Dakota,18,40.6,24.5,54.9,0.446,6.2,19.1,0.326,15.5,22,0.705,11.8,21.4,7.8,23.2,31,13.1,5.6,3.3,70.7,2015
Southeastern Louisiana,18,40.6,26.3,53.9,0.488,5.4,17.1,0.319,12.7,19.6,0.649,16.6,19.8,8.9,23.3,32.2,12.9,6.7,3.6,70.7,2015
New Orleans,18,40.6,24.1,56.5,0.427,4.6,12.9,0.353,17.9,25.7,0.699,15.9,21.2,13.1,21.9,35.1,9.5,7.4,3.6,70.7,2015
Sam Houston State,18,40,22.6,52.8,0.428,7.1,21.4,0.332,18.3,26.2,0.701,12.9,20.6,11.2,25.5,36.7,12.9,6.6,3.9,70.7,2015
Houston Baptist,18,40.3,24.9,55.9,0.445,4.4,13.3,0.333,16.4,22.3,0.738,14.7,20.2,12.2,23,35.2,11.3,5.3,3.2,70.7,2015
Grand Canyon,14,40,23.8,51.5,0.462,7.1,19.3,0.37,15.9,20.5,0.774,9.4,18.6,8.1,20.7,28.9,12.6,5,2.9,70.6,2015
West Virginia,18,40.6,23.7,59.9,0.396,6.8,21.2,0.319,16.3,24.9,0.656,13.7,25.1,15.4,19.3,34.7,13.4,9.3,2.3,70.6,2015
Washington State,18,40.6,23.5,54.1,0.435,6.8,19.5,0.348,16.7,23.7,0.707,11.1,18.6,7.7,23.8,31.4,14.4,3.4,3.1,70.5,2015
Southern Utah,18,40.5,24.6,52.5,0.469,7.3,18.5,0.393,13.9,20.6,0.674,13.1,22.2,6.2,23.9,30.1,12.6,4.4,3.3,70.4,2015
Wisconsin,18,40.3,24.5,51.4,0.477,6.8,19.1,0.359,14.5,19,0.763,6.8,11.5,9.1,22.2,31.2,11.7,3.4,3.1,70.3,2015
Northeastern,18,40.3,24.3,47.9,0.507,5.1,13.2,0.388,16.7,23.3,0.714,13.6,15.1,7.5,24,31.5,13.8,5.4,3.8,70.3,2015
Wagner,18,40.8,24.4,60.1,0.406,5.4,17.2,0.317,16.1,22.1,0.728,14.1,21.6,14.2,23.9,38.1,10.1,5.7,2.6,70.3,2015
Western Michigan,18,40.8,23.9,52.6,0.455,6.8,19.2,0.354,15.7,22.8,0.69,11.8,18.3,9.3,23.5,32.8,11.9,5.8,2.4,70.3,2015
Providence,18,40.6,24.1,55.1,0.438,4.5,15.8,0.285,17.5,24.5,0.714,11.7,19.2,11.5,22.9,34.4,13.4,6.4,4.8,70.2,2015
Michigan State,18,41.4,25.5,56.1,0.454,7.2,19.6,0.368,11.9,19.1,0.624,11,19,11,24.8,35.8,16.1,5.3,4.9,70.1,2015
Bucknell,18,40.5,23.6,52.2,0.453,7.1,17.3,0.412,15.6,23.1,0.675,9.8,17.6,9,23.4,32.4,13.2,4.3,2.9,69.9,2015
Princeton,14,40,22.3,45.7,0.487,7.1,19.4,0.369,18.1,25.6,0.708,12.5,18.9,5.7,24,29.7,11.6,5.3,3,69.9,2015
Samford,18,40,24.2,53.4,0.453,5.7,16.2,0.353,15.8,22.4,0.705,13.2,20.4,9.6,20.6,30.1,13.2,7.7,2.7,69.8,2015
St. Francis (NY),18,40.6,23.9,55.2,0.434,5.6,18.6,0.302,16.3,24.1,0.675,12.7,18.1,14.1,23.6,37.7,12.4,5.9,5.7,69.8,2015
UNC Greensboro,18,40.3,25.7,56.7,0.454,6.6,16.9,0.388,11.7,18.2,0.643,12.2,22.3,9.2,25.2,34.3,12.9,5.4,4.2,69.7,2015
Little Rock,20,41,24.3,57.3,0.424,7.2,21.1,0.341,13.9,19.1,0.726,10.3,19.4,10.3,22.9,33.2,12.5,5.5,2.1,69.7,2015
Boston University,18,40.6,22.9,49.3,0.466,7.4,20.1,0.371,16.2,23.1,0.7,13,17.1,7.6,23.7,31.3,12.4,5.6,2.2,69.5,2015
Utah,18,40,23.7,50.1,0.473,8.1,20.1,0.403,14,19.1,0.735,10.4,17.3,8.1,23.9,32,14.1,5.5,4.8,69.4,2015
Ohio State,18,40.3,25.4,55.3,0.459,5.9,17.3,0.34,12.6,19.7,0.639,10.7,17.1,10.9,22.4,33.3,13.3,7,4.8,69.3,2015
Texas-San Antonio,18,40,23.7,55.7,0.426,6.2,19.4,0.317,15.7,22.4,0.698,12.5,15.8,13.1,21.9,35.1,12.1,6.4,2.5,69.3,2015
VCU,18,41.1,23.7,58.3,0.407,6.9,22.5,0.306,14.9,23.4,0.639,10.5,19.1,11.3,23.2,34.5,10.9,10.2,4.7,69.3,2015
Longwood,18,40.8,23.9,56.8,0.42,8.7,23.2,0.376,12.7,17.2,0.741,12.4,19.8,8.6,21.7,30.3,11.6,7.9,3.4,69.2,2015
Florida Gulf Coast,14,40,25,58.8,0.425,6.2,20.4,0.305,13,19.4,0.669,10.3,16.4,13.9,24.9,38.9,12.3,5.6,4.6,69.2,2015
Iowa,18,40.6,23.8,52.7,0.453,5.6,15.4,0.361,15.9,22.1,0.72,10.1,16.1,11,23.3,34.3,13.8,5.7,3.9,69.1,2015
NC State,18,40.6,25.1,58.8,0.426,7.2,19.8,0.364,11.7,17.3,0.676,10.2,18.2,11.9,24.1,36.1,12,4.2,5.2,69.1,2015
Georgetown,18,40.6,23.1,52.1,0.444,6.1,17.6,0.344,16.8,23.8,0.706,12.3,20.7,9.9,24.2,34.1,12.7,7.2,5.1,69.1,2015
Bryant,18,40.3,23.9,53.8,0.444,6.8,20.1,0.337,14.5,18.9,0.765,11.3,17.3,9.7,23.8,33.6,13.6,4.9,2.4,69.1,2015
UTEP,18,40.3,24.1,51.5,0.467,6.2,17.1,0.362,14.7,22.7,0.647,11.5,15.8,8.8,23.8,32.7,13.1,5.7,4.2,68.9,2015
Youngstown State,16,40.3,23.6,55.2,0.426,6.9,18.1,0.384,14.9,20.3,0.732,12.2,18.8,8.1,20.7,28.8,12.8,6.1,2.2,68.9,2015
Southern Methodist,18,40,24.8,50.8,0.489,4.2,11.3,0.368,15.1,22.1,0.683,11.7,15.9,11.1,23.1,34.2,16.5,7.6,4.3,68.9,2015
Dayton,18,40.3,23.2,48.1,0.483,7.4,19.6,0.378,15,21.7,0.691,11.6,15.7,5.7,23.9,29.6,13.9,6.5,2.8,68.8,2015
Alabama State,18,40.3,24.8,56.7,0.438,5.6,16.1,0.349,13.6,20.8,0.652,13.1,16.2,12.4,25.1,37.4,12.9,5.9,3.5,68.8,2015
Butler,18,40.6,23.8,55.1,0.431,5.6,14.6,0.382,15.7,22.2,0.707,10.8,17.6,11.5,23.9,35.4,11.2,5.1,2.9,68.8,2015
Mercer,18,40.3,24.2,52,0.465,5.8,16.4,0.355,14.6,21.6,0.676,10.2,14.8,10.9,22.7,33.6,13.7,7,2.6,68.8,2015
Boise State,18,40.3,24.2,53.6,0.452,9.2,23.1,0.4,11.1,15.4,0.719,9.9,15.9,8.9,23.8,32.7,12.1,7,2.6,68.8,2015
Army,18,40.3,24.6,57.7,0.426,7.8,23.5,0.333,11.7,16.9,0.691,13,20,9.1,23.2,32.3,14.3,5.1,3.2,68.7,2015
Siena,20,40.2,23.7,54.3,0.436,4.7,13.7,0.344,16.6,23.6,0.705,14.1,20.2,12.1,20.1,32.1,12.4,7.7,3.9,68.7,2015
McNeese State,18,40.3,25,58.4,0.428,6.3,19.7,0.318,12.4,19.4,0.637,11.2,17.5,12.1,22.4,34.5,12.4,7.2,3.9,68.7,2015
Miami (OH),18,40.8,23.7,53.2,0.445,5.6,16.4,0.341,15.7,21.4,0.735,11.9,19.4,8.7,22.6,31.3,12.6,7.1,1.8,68.7,2015
Colgate,18,41.5,25.4,49.6,0.512,8.3,19,0.439,9.5,13.8,0.687,11,16.1,6.3,22.2,28.6,14.4,5.2,3.5,68.6,2015
Long Island,18,41.1,22.4,57.2,0.392,6.4,20,0.322,17.4,25.4,0.685,14.2,20.3,12.8,24.4,37.2,11.5,6.3,2.4,68.6,2015
Portland,18,40.3,23.7,54.9,0.432,6.8,17.1,0.396,14.3,20.7,0.691,12.2,19.1,11.5,22.7,34.2,14.4,4.7,4.7,68.5,2015
UNLV,18,40.5,24.2,53.7,0.45,8.1,20.7,0.39,12.1,17.1,0.708,11.2,16.4,8.4,23.6,32,14.2,5.3,6.1,68.5,2015
UCLA,18,40.6,24.9,56.8,0.438,5.7,16.4,0.349,13,19.1,0.682,10.8,17.2,11.1,23.7,34.7,13.1,6.2,3.3,68.5,2015
Delaware,18,40.8,23.6,54.4,0.434,6.4,18.3,0.352,14.8,21.6,0.688,11.5,17.3,9.4,24.8,34.2,13.1,4.4,3.3,68.5,2015
Baylor,18,40.6,23.5,54.9,0.428,7.6,18.9,0.403,13.9,20.3,0.685,12.2,16.1,13.4,22.7,36.1,13.9,7.8,3.4,68.5,2015
Quinnipiac,20,40.8,23.2,59.8,0.389,5.8,17.9,0.32,16.1,20.9,0.771,14.2,19,15.2,28.6,43.8,13.2,3.6,5.6,68.4,2015
James Madison,18,40,23,48.5,0.474,7.2,17.6,0.41,15.2,22,0.689,12.2,15.7,7.6,23.7,31.3,11.9,6.4,2.6,68.4,2015
Akron,18,40.3,24.3,57.9,0.42,9.8,27.7,0.353,9.9,16.1,0.617,12.5,19.8,12.4,23.1,35.5,12.8,6.6,4.1,68.4,2015
Tennessee-Martin,16,40.6,24.6,52.2,0.472,7.8,18.7,0.418,11.2,16.6,0.679,11.4,14.7,8.8,25,33.8,11.6,3.9,1.4,68.3,2015
Miami (FL),18,41.1,22.9,53.9,0.425,8,22.6,0.355,14.3,19.1,0.752,9.8,16.4,8.9,22.8,31.7,12.9,5.6,2.8,68.2,2015
Richmond,18,41.4,24.1,53.2,0.452,7.4,20.5,0.36,12.7,18,0.704,9.8,18.1,6.8,22.3,29.1,14.4,7.7,3.1,68.2,2015
Elon,18,40.3,22.9,55.2,0.416,7.1,20.9,0.34,15.1,22.7,0.667,12.4,20.9,9.8,21.8,31.7,11.7,6.2,1.5,68.1,2015
Fort Wayne,16,40,23.8,49.9,0.477,6.9,18.7,0.371,13.5,18.2,0.74,12.3,16.1,6.8,23.6,30.4,13.6,5.6,2.8,68.1,2015
Valparaiso,16,40.3,24.1,52.8,0.457,5.9,15.6,0.376,13.9,20.2,0.69,12.8,17.1,11.7,25.6,37.3,12.6,5.1,3.9,68.1,2015
Middle Tennessee State,18,41.7,23.2,53.1,0.437,7.1,19.6,0.363,14.5,19.4,0.746,13.7,19.1,10,23.4,33.4,11.8,6.3,2.7,68.1,2015
Fairleigh Dickinson,18,40.6,23.4,56.5,0.414,6.9,21.9,0.314,14.4,20.2,0.712,13.1,23.4,9,19.6,28.6,10.8,8.9,3.6,68.1,2015
Mississippi Valley State,18,40.9,25.1,58.7,0.428,4.7,15.1,0.312,13.1,20.6,0.635,16,17.3,11.8,23.3,35.1,10.8,6.6,1.3,68,2015
Saint Mary's,18,40.6,23.8,51.4,0.464,7.8,19.6,0.398,12.5,17.6,0.71,11.5,17.3,9.1,24.4,33.5,14.8,4.8,2.4,67.9,2015
Texas A&M-CC,18,40.3,22.4,49.5,0.452,4.9,14.2,0.349,18.2,26.8,0.677,12.3,20.1,9.6,22.3,31.8,10.4,7.1,2.7,67.9,2015
Wichita State,18,40,23.6,52.5,0.449,6.7,18.2,0.37,14,19.6,0.716,8.7,15.6,10.1,23.7,33.8,13.7,6.6,4.7,67.8,2015
UNC Wilmington,18,40.6,23.8,56.5,0.422,4.3,14.2,0.306,15.8,22.8,0.691,10.6,21.6,11.3,22.6,33.9,10.2,8.3,3.9,67.8,2015
Eastern Michigan,17,40.6,22.2,54.2,0.41,6.3,20.5,0.307,16.9,24.1,0.7,12.7,21.2,9.5,23.2,32.7,9.3,8.6,4.3,67.6,2015
Jacksonville,14,41.1,23.4,55.4,0.422,7.2,19.6,0.367,13.7,20.1,0.681,10.4,17.4,9.3,21.1,30.4,11.6,5.7,2.9,67.6,2015
Cleveland State,16,40.3,24.5,51.9,0.472,6.3,17.6,0.359,12.3,18.2,0.677,10.9,18.8,9.2,21.7,30.9,13.4,7,4.1,67.6,2015
Wofford,18,40,23.7,50.9,0.465,6.1,16.8,0.361,14.2,20.7,0.688,10,16.6,8.4,22.6,31.1,13.8,6.7,3,67.6,2015
Minnesota,18,40.6,24.2,56.1,0.431,7,19.6,0.357,12.2,17.7,0.69,10.9,17.2,9.3,20.7,30,12.6,7.6,2.7,67.6,2015
Vermont,16,40,23.9,49.3,0.485,5.2,14.1,0.369,14.4,20.2,0.715,11.9,18.9,7.6,25.2,32.8,13.1,6.7,5.5,67.5,2015
Tennessee Tech ,16,40.3,23.9,56.6,0.422,6.1,18.3,0.331,13.7,20.1,0.68,13.4,19.6,12.2,22.9,35.1,12.5,5.2,3.3,67.5,2015
Hampton,16,40.3,23.2,55.4,0.418,5.4,18.9,0.288,15.5,24.9,0.622,14.8,21.7,11.2,26.1,37.3,10.9,6.8,5.2,67.3,2015
Wake Forest,18,40.8,23.7,56.6,0.418,6.8,20.7,0.327,13.2,21.6,0.611,12.1,18.3,9.7,23.9,33.7,13.9,5.6,3.4,67.3,2015
